TOTAL,F,MED_E,PPS,LT	10307 	9494 	9118 	8055 	7407 	6972 	6462 	5887 	5803 	6893 	6595 	5527 	4440 	3762 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,LU	31609 	28856 	28178 b	29171 	27827 	27558 	26094 	26128 	26358 	26784 	26649 	26523 	26394 	27401 	25837 	24785 b	23753 	22370 	20766 	20349 	20055 	18780 	18196 
TOTAL,F,MED_E,PPS,LV	9603 	9011 	8958 	7747 	7058 	6240 	5894 	5818 	5784 	6832 	6867 	5354 	4240 	3788 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,MK	: 	5285 	4923 	4530 	4092 	3986 	3936 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,MT	17851 	17535 	17169 	16483 	15398 	14866 	14192 	13587 	13123 	13243 	12876 	12203 	11839 	11506 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,NL	20913 	20762 	20758 b	19098 	18528 	18838 	18562 	18425 	18502 	18863 	18721 	17089 	16113 	15733 b	: 	: 	13574 	13512 	13129 	12480 	11756 	10955 	10561 
TOTAL,F,MED_E,PPS,NO	25940 	25629 	27008 	27694 	27310 	26332 	25356 	24037 	22892 	23613 	22512 	20266 	19885 	18506 	18219 	17781 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,PL	11403 	10956 	10724 	9896 	9466 	9100 	8551 	8200 	7470 	7237 	6664 	5552 	5070 	4744 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,PT	10705 	10660 	10634 	10102 	9978 	9726 	9678 	9444 	9612 	9221 	9338 	8806 	8483 	8118 	7874 b	: 	8214 	7654 	7281 	6787 	6532 	6275 	6094 
TOTAL,F,MED_E,PPS,RO	6136 	5167 	4645 	4242 	3938 	3807 	3673 	3573 	3481 	3399 	2994 	2743 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,RS	5211 	5062 	4965 	4714 	4622 	4769 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,SE	19965 	19833 	20377 	19650 	19059 	19580 	18437 	17452 	17056 	17715 	17004 b	15595 	14825 	14061 	13688 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,SI	15557 	14973 	15003 	14877 	14150 	13990 	13999 	13706 	13147 	14084 	13538 	12662 	11927 	11398 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,SK	: 	10456 	10391 	9955 	9590 	9420 	9561 	8875 	8214 	7640 	6572 	5454 	4534 	3896 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,TR	: 	6545 	6417 	5638 	5390 	5226 	5121 	4713 	4295 	4414 	4081 	3997 	3488 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,UK	: 	17629 b	16943 	17360 	16518 	16343 	16083 b	15401 	15501 	16490 	18103 	18189 	17108 	16344 b	: 	: 	14430 	13377 	12413 	12512 	11984 	11225 	11108 
TOTAL,F,MEI_E,EUR,AT	27245 	27134 	25452 	25228 	25535 	23757 	23762 	23444 	22971 	22237 	21136 b	19865 	19345 	19462 	18236 	17151 b	15997 	15933 	15189 	14797 	15290 	15873 	15196 
TOTAL,F,MEI_E,EUR,BE	24722 	23754 	23479 	22992 	22947 	22758 	21457 	21259 	20918 	20495 	19473 	18789 	18355 	17814 	16571 	16720 b	17350 	16754 	16075 	15333 	15344 	15393 	14772 
TOTAL,F,MEI_E,EUR,BG	4496 	4467 	3756 b	3951 	3824 	3468 	3218 	3383 	3448 	3212 	2604 	1690 	1554 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,CH	48172 	48643 	49327 	44053 	43029 b	45273 	43249 	37714 	33953 	32666 	30714 	31274 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,CY	17434 	17066 	16785 	16756 	18278 	19082 	19872 	19224 	18620 	18559 	18232 b	18294 	16325 	14960 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,CZ	9796 	9017 	8565 	8132 	8375 	8478 	8550 	8249 	7810 	8100 	6652 	6025 	5319 	4729 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,DE	25474 	24246 	23411 	22973 	21964 	21840 	21401 	21037 	21018 	20814 	20595 	19720 	16906 	17767 b	: 	: 	17081 	16739 	16032 	15548 	15901 	15659 	14668 
TOTAL,F,MEI_E,EUR,DK	33131 	32833 	31577 	31197 	30908 	29493 	29319 	29046 b	26556 	25787 	25536 	24728 	23666 	22873 	22369 	22119 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MEI_E,EUR,EA	21493 e	20856 e	20354 e	19881 e	19613 e	19647 e	19609 e	19386 e	19490 e	19283 e	19029 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
